x,y,,C 1s at%,O 1s at%,Zn 2p at%,Cl 2p at%,S 2p at%,,,
35,-5,0.006862476,21.29,41.4,36.43,0.62,,,#REF!,#REF!
35,5,0.0068399453,22.76,39.95,36.55,0.5,,,#REF!,#REF!
35,15,0.0035961272,22.3,41.06,36.15,0.35,,,#REF!,#REF!
35,25,0.0052232959,18.78,42.28,38.29,0.45,,,#REF!,#REF!
35,35,0.0037678975,33.49,39.09,26.54,0.78,,,#REF!,#REF!
35,45,0.0038188762,45.68,34,18.33,0.41,,0.37 Ca 2p,#REF!,#REF!
45,-35,0.0351080247,32.81,40.07,25.92,0.29,,,#REF!,#REF!
45,-25,0.0263901979,26.46,40.25,31.83,0.61,,,#REF!,#REF!
45,-15,0.0083897158,20.87,41.27,36.95,0.61,,,#REF!,#REF!
45,-5,0.00945906,25.26,40,33.83,0.6,,,#REF!,#REF!
45,5,0.0066889632,27.47,38.88,32.89,0.54,,,#REF!,#REF!
45,15,0.0036775106,23.03,41.01,35.35,0.48,,,#REF!,#REF!
45,25,0.0124040165,46.67,30.33,16.93,0.79,4.28,0.79 Ca 2p,#REF!,#REF!
45,35,0.0034910784,35.08,38.57,25.78,0.48,,,#REF!,#REF!
45,45,0.0166414523,66.81,24.08,6.61,0.58,,0.49 Ca 2p,#REF!,#REF!
